Actual,date
8758,2025-01-25
12908,2025-01-26
11472,2025-01-27
6160,2025-01-28
9113,2025-01-29
10743,2025-01-30
11619,2025-01-31
6308,2025-02-01
6139,2025-02-02
9326,2025-02-03
9798,2025-02-04
8233,2025-02-05
8097,2025-02-06
6642,2025-02-07
40,2025-02-08
1033,2025-02-10
3850,2025-02-11
8126,2025-02-12
7673,2025-02-13
5515,2025-02-14
11155,2025-02-15
8458,2025-02-16
8597,2025-02-17
7377,2025-02-18
7179,2025-02-19
7760,2025-02-20
7552,2025-02-21
8677,2025-02-22
8074,2025-02-23
8211,2025-02-24
8643,2025-02-25
5848,2025-02-26
7668,2025-02-27
7305,2025-02-28
6907,2025-03-01
7723,2025-03-02
10542,2025-03-03
10322,2025-03-04
4928,2025-03-05
7894,2025-03-06
3330,2025-03-07
4756,2025-03-08
9497,2025-03-09
5795,2025-03-10
5006,2025-03-11
8754,2025-03-12
9797,2025-03-13
5137,2025-03-14
6555,2025-03-15
5549,2025-03-16
7470,2025-03-17
11263,2025-03-18
13950,2025-03-19
3992,2025-03-20
2614,2025-03-21
8889,2025-03-22
4651,2025-03-23
7514,2025-03-24
4828,2025-03-25
7035,2025-03-26
10045,2025-03-27
8527,2025-03-28
6675,2025-03-29
7142,2025-03-30
4325,2025-03-31
4501,2025-04-01
4041,2025-04-02
7163,2025-04-03
5931,2025-04-04
7328,2025-04-05
8425,2025-04-06
9019,2025-04-07
10292,2025-04-08
3957,2025-04-09
4724,2025-04-10
4205,2025-04-11
9571,2025-04-12
5315,2025-04-13
16167,2025-04-14
6491,2025-04-15
3105,2025-04-16
7781,2025-04-17
8255,2025-04-18
14074,2025-04-19
3712,2025-04-20
4409,2025-04-21
2609,2025-04-22
7789,2025-04-23
7787,2025-04-24
4924,2025-04-25
4521,2025-04-26
3674,2025-04-27
16345,2025-04-28
8093,2025-04-29
8774,2025-04-30
7434,2025-05-01
10834,2025-05-02
7017,2025-05-03
4941,2025-05-04
9106,2025-05-05
2605,2025-05-06
10350,2025-05-07
4574,2025-05-08
16398,2025-05-09
7464,2025-05-10
12523,2025-05-11
6041,2025-05-12
6986,2025-05-13
11248,2025-05-14
3485,2025-05-15
10368,2025-05-16
3949,2025-05-17
14295,2025-05-18
12654,2025-05-19
3393,2025-05-20
9595,2025-05-21
12329,2025-05-22
6989,2025-05-23
15976,2025-05-24
5346,2025-05-25
8893,2025-05-26
13772,2025-05-27
7221,2025-05-28
8904,2025-05-29
13421,2025-05-30
8856,2025-05-31
2593,2025-06-01
16334,2025-06-02
4533,2025-06-03
