Timestamp,What is your call sign? You can use your name or a creative Top Gun-esque nickname.,Which airplane was thrown first? [Glider w/ paperclip],Which airplane was thrown first? [Glider w/out paperclip],Which airplane was thrown first? [Dart w/ paperclip],Which airplane was thrown first? [Dart w/out paperclip],How far did the Dart w/paperclip go?,How far did the Glider w/paperclip go?,How far did the Dart w/out paperclip go?,How far did the Glider w/out paperclip go?,Do you consider yourself to be good at throwing things?,Do you consider yourself to be good at origami?
4/27/2026 13:49:25,Jay Bird,First Throw,Third Throw,Second Throw,Fourth Throw,205,48.5,196,174,Yes,Yes
4/27/2026 13:49:37,Bob,Fourth Throw,Second Throw,Third Throw,First Throw,251.5 in,166.2 in,86.4 in,121.2 in,No,Yes
4/27/2026 13:51:26,Maddy,Second Throw,Fourth Throw,First Throw,Third Throw,19.2 ft,5.65 ft, 16 ft,4.12 ft,Yes,No
4/27/2026 13:52:49,Iceman,Second Throw,Fourth Throw,First Throw,Third Throw,212,60,226,81,Yes,Yes
4/27/2026 13:53:47,Shadow,First Throw,Fourth Throw,Second Throw,Third Throw,218,173,268,113,Yes,Yes
4/27/2026 13:53:57,SWE,Second Throw,Third Throw,Fourth Throw,First Throw,262,114,252,148,Yes,No
4/27/2026 13:54:35,Annabelle ,First Throw,Fourth Throw,Third Throw,Second Throw,196,83,133,113,No,No
4/27/2026 13:55:56,LP,Second Throw,Third Throw,First Throw,Fourth Throw,195,107,180,111,Yes,No
4/27/2026 13:55:58,TopGun,First Throw,Second Throw,Fourth Throw,Third Throw,229,85,256,122,Yes,No
4/27/2026 13:56:23,Moose,First Throw,Fourth Throw,Third Throw,Second Throw,146,85,132,42,Yes,No
4/27/2026 13:56:26,Penguin,Third Throw,Fourth Throw,First Throw,Second Throw,235,122,167,18,No,Yes
4/27/2026 13:56:52,snake ,First Throw,Second Throw,Third Throw,Fourth Throw,276,200,60,20,Yes,No
4/27/2026 13:57:13,Duck,First Throw,Second Throw,Third Throw,Fourth Throw,276,200,60,20,Yes,No
4/27/2026 13:57:17,TOO_SWE_FOUR_ME,Third Throw,Fourth Throw,Second Throw,First Throw,74,155,75,123,Yes,No
4/27/2026 13:58:05,Rooster,Second Throw,First Throw,Fourth Throw,Third Throw,128,93,31,215,Yes,Yes
4/27/2026 13:58:19,Lone Wolf,Third Throw,Fourth Throw,Second Throw,First Throw,286,90,239,198,Yes,Yes
4/27/2026 13:58:20,IceFox,First Throw,Fourth Throw,Third Throw,Second Throw,67in,37in,162in,131in,Yes,No
4/27/2026 13:58:33,bgoblin ,Fourth Throw,Third Throw,First Throw,Second Throw,287,216,239,101,Yes,Yes
4/27/2026 13:58:43,lt chud,First Throw,Second Throw,Third Throw,Fourth Throw,92,45,221,307,Yes,No
4/27/2026 13:58:46,CHUD,Third Throw,First Throw,Fourth Throw,Second Throw,127,217,35,127,Yes,No
4/27/2026 14:00:39,Birdie ,First Throw,Third Throw,Second Throw,Fourth Throw,189 in,34 in ,161 in,41 in ,Yes,No
4/27/2026 14:01:46,Giraffe,Third Throw,First Throw,Fourth Throw,Second Throw,240,132,156,240,Yes,No
4/27/2026 14:04:09,adriana,Second Throw,Fourth Throw,Third Throw,First Throw,289.25,120,163.5,115,No,No
4/27/2026 14:10:14,Flicker,Second Throw,First Throw,Third Throw,Fourth Throw,215in,106in,191in,67 cm,Yes,No
4/27/2026 14:18:59,Eight Man,First Throw,Fourth Throw,Second Throw,Third Throw,250,-12,224,103,Yes,Yes
4/27/2026 14:20:39,Teratornis,Third Throw,Fourth Throw,Second Throw,First Throw,195,122,108,142,No,No
4/27/2026 14:55:51,Kenyan,Fourth Throw,Third Throw,Second Throw,First Throw,16 ft,9.9,20.6,10.3,Yes,No
4/27/2026 16:23:40,Leaf,Third Throw,Fourth Throw,First Throw,Second Throw,201,123,188,156,Yes,Yes
4/27/2026 16:53:35,isaac,First Throw,First Throw,First Throw,First Throw,246,180,144,44,Yes,No
4/28/2026 9:21:57,Maverick,First Throw,Third Throw,Second Throw,Fourth Throw,220,131,220,98,No,No
4/28/2026 15:57:58,Ghost,Third Throw,First Throw,Fourth Throw,Second Throw,25 ft,12 ft,24 ft 1 inch,11 ft,No,Yes
4/29/2026 9:02:04,Maximus,Second Throw,Third Throw,First Throw,Fourth Throw,97 in,65 in,84 in,52 in,No,No
4/29/2026 11:00:36,Joey H,Second Throw,First Throw,Third Throw,Fourth Throw,100,40,30,30,No,No
4/29/2026 11:25:42,Crash n' Burn,Third Throw,Second Throw,First Throw,Fourth Throw,21,17,18,11,No,Yes
4/29/2026 11:33:01,Tody,Third Throw,Second Throw,Fourth Throw,First Throw,315.6,40.25,240.5,183.6,Yes,Yes
