dart_wclip,dart_woclip,throw,fold,dart
205,196,Throw: Yes,Fold: Yes,200.5
251.5,86.4,Throw: No,Fold: Yes,168.95
230.39999999999998,192,Throw: Yes,Fold: No,211.2
212,226,Throw: Yes,Fold: Yes,219
218,268,Throw: Yes,Fold: Yes,243
262,252,Throw: Yes,Fold: No,257
196,133,Throw: No,Fold: No,164.5
195,180,Throw: Yes,Fold: No,187.5
229,256,Throw: Yes,Fold: No,242.5
146,132,Throw: Yes,Fold: No,139
235,167,Throw: No,Fold: Yes,201
276,60,Throw: Yes,Fold: No,168
276,60,Throw: Yes,Fold: No,168
74,75,Throw: Yes,Fold: No,74.5
128,31,Throw: Yes,Fold: Yes,79.5
286,239,Throw: Yes,Fold: Yes,262.5
67,162,Throw: Yes,Fold: No,114.5
287,239,Throw: Yes,Fold: Yes,263
92,221,Throw: Yes,Fold: No,156.5
127,35,Throw: Yes,Fold: No,81
189,161,Throw: Yes,Fold: No,175
240,156,Throw: Yes,Fold: No,198
289.25,163.5,Throw: No,Fold: No,226.375
215,191,Throw: Yes,Fold: No,203
250,224,Throw: Yes,Fold: Yes,237
195,108,Throw: No,Fold: No,151.5
192,20.6,Throw: Yes,Fold: No,106.3
201,188,Throw: Yes,Fold: Yes,194.5
246,144,Throw: Yes,Fold: No,195
220,220,Throw: No,Fold: No,220
300,288.0833333333333,Throw: No,Fold: Yes,294.04166666666663
97,84,Throw: No,Fold: No,90.5
100,30,Throw: No,Fold: No,65
252,216,Throw: No,Fold: Yes,234
315.6,240.5,Throw: Yes,Fold: Yes,278.05
