dart_wclip,dart_woclip,glider_wclip,glider_woclip,throw,fold
205,196,174,174,Yes,Yes
251.5,86.4,166.2,121.2,No,Yes
230.39999999999998,192,67.80000000000001,49.44,Yes,No
212,226,81,81,Yes,Yes
218,268,113,113,Yes,Yes
262,252,148,148,Yes,No
196,133,113,113,No,No
195,180,111,111,Yes,No
229,256,122,122,Yes,No
146,132,42,42,Yes,No
235,167,18,18,No,Yes
276,60,20,20,Yes,No
276,60,20,20,Yes,No
74,75,123,123,Yes,No
128,31,215,215,Yes,Yes
286,239,198,198,Yes,Yes
67,162,37,131,Yes,No
287,239,101,101,Yes,Yes
92,221,307,307,Yes,No
127,35,127,127,Yes,No
189,161,34,41,Yes,No
240,156,240,240,Yes,No
289.25,163.5,115,115,No,No
215,191,106,67,Yes,No
250,224,103,103,Yes,Yes
195,108,142,142,No,No
192,20.6,10.3,10.3,Yes,No
201,188,156,156,Yes,Yes
246,144,44,44,Yes,No
220,220,98,98,No,No
300,288.0833333333333,144,132,No,Yes
97,84,65,52,No,No
100,30,30,30,No,No
252,216,204,132,No,Yes
315.6,240.5,183.6,183.6,Yes,Yes
